pregunta,clase
¿En qué ciudad se encuentra la Torre Eiffel?,EntidadLugarCiudad
¿Cuál es la ciudad donde nació el famoso artista Pablo Picasso?,EntidadLugarCiudad
¿En qué ciudad se encuentra el famoso monumento Taj Mahal?,EntidadLugarCiudad
¿Cuál es la ciudad donde se celebran los carnavales más famosos del mundo?,EntidadLugarCiudad
¿En qué ciudad se encuentra el Coliseo Romano?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso templo Angkor Wat?,EntidadLugarCiudad
¿En qué ciudad se celebra el famoso festival de la cerveza Oktoberfest?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso Big Ben?,EntidadLugarCiudad
¿En qué ciudad se encuentra la estatua de la Libertad?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso parque de diversiones Disneyland?,EntidadLugarCiudad
¿En qué ciudad se encuentra el famoso teatro Bolshói?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso canal de Venecia?,EntidadLugarCiudad
¿En qué ciudad se encuentra la famosa Plaza Roja?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso castillo de Neuschwanstein?,EntidadLugarCiudad
¿En qué ciudad se encuentra la famosa Fuente de Trevi?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso Palacio de Versalles?,EntidadLugarCiudad
¿En qué ciudad se celebra el famoso Carnaval de Río de Janeiro?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso edificio Burj Khalifa?,EntidadLugarCiudad
¿En qué ciudad se encuentra el famoso templo de la Sagrada Familia?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso parque nacional Yellowstone?,EntidadLugarCiudad
¿En qué ciudad se encuentra el famoso templo del Buda de Esmeralda?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra la famosa Torre de Pisa?,EntidadLugarCiudad
¿En qué ciudad se celebra el famoso Carnaval de Venecia?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso puerto de Sydney?,EntidadLugarCiudad
¿En qué ciudad se encuentra la famosa Mezquita Azul?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra la famosa estatua del Cristo Redentor?,EntidadLugarCiudad
¿En qué ciudad se celebra el famoso Festival de Cannes?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso castillo de Edimburgo?,EntidadLugarCiudad
¿En qué ciudad se encuentra el famoso palacio de la Alhambra?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso museo del Louvre?,EntidadLugarCiudad
¿En qué ciudad se celebra el famoso Festival de la Tomatina?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso Parque Güell?,EntidadLugarCiudad
¿En qué ciudad se encuentra el famoso rascacielos Taipei 101?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso Museo Nacional de Antropología?,EntidadLugarCiudad
¿En qué ciudad se celebra el famoso Festival de Glastonbury?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso Jardín Botánico de Singapur?,EntidadLugarCiudad
¿En qué ciudad se encuentra el famoso Palacio Real de Madrid?,EntidadLugarCiudad
¿En qué ciudad se celebra el famoso Festival de la Cerveza de Munich?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso Museo de Arte Moderno de Nueva York?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso museo Van Gogh?,EntidadLugarCiudad
¿En qué ciudad se celebra el famoso Carnaval de Tenerife?,EntidadLugarCiudad
¿En qué ciudad se encuentra el famoso teatro de la ópera de Sídney?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso Palacio de Buckingham?,EntidadLugarCiudad
¿En qué ciudad se celebra el famoso Festival de las Luces de Diwali?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso parque temático Universal Studios?,EntidadLugarCiudad
¿En qué ciudad se encuentra el famoso edificio Chrysler?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso Templo del Cielo?,EntidadLugarCiudad
¿En qué ciudad se encuentra el famoso museo Hermitage?,EntidadLugarCiudad
¿Cuál es la ciudad donde se encuentra el famoso Palacio de Westminster?,EntidadLugarCiudad
¿En qué ciudad se celebra el famoso Festival de Jazz de Montreux?,EntidadLugarCiudad
