pregunta,clase
¿En qué país se encuentra la Torre Eiffel?,EntidadLugarPais
¿De qué nacionalidad es el cantante Ricky Martin?,EntidadLugarPais
¿Cuál es el país de origen de la pizza?,EntidadLugarPais
¿Cuál es la nacionalidad de la tenista Serena Williams?,EntidadLugarPais
¿Cuál es el país donde se celebra el Carnaval de Río de Janeiro?,EntidadLugarPais
¿En qué país se encuentra el Gran Cañón del Colorado?,EntidadLugarPais
¿De qué nacionalidad es el actor Tom Cruise?,EntidadLugarPais
¿Cuál es el país de origen del sushi?,EntidadLugarPais
¿Cuál es la nacionalidad del jugador de baloncesto LeBron James?,EntidadLugarPais
¿Cuál es el país donde se encuentra la ciudad de Petra?,EntidadLugarPais
¿En qué país se habla portugués?,EntidadLugarPais
¿De qué nacionalidad es la cantante Shakira?,EntidadLugarPais
¿Cuál es el país de origen del tequila?,EntidadLugarPais
¿Cuál es la nacionalidad del futbolista Lionel Messi?,EntidadLugarPais
¿Cuál es el país donde se encuentra la Acrópolis de Atenas?,EntidadLugarPais
¿En qué país se encuentra el desierto del Sahara?,EntidadLugarPais
¿De qué nacionalidad es el director de cine Quentin Tarantino?,EntidadLugarPais
¿Cuál es el país de origen del té verde?,EntidadLugarPais
¿Cuál es la nacionalidad del actor Robert De Niro?,EntidadLugarPais
¿Cuál es el país donde se encuentra la Torre de Pisa?,EntidadLugarPais
¿En qué país se encuentra el Parque Nacional Yellowstone?,EntidadLugarPais
¿De qué nacionalidad es el escritor Gabriel García Márquez?,EntidadLugarPais
¿Cuál es el país de origen del vino tinto?,EntidadLugarPais
¿Cuál es la nacionalidad del músico Paul McCartney?,EntidadLugarPais
¿Cuál es el país donde se encuentra la Capilla Sixtina?,EntidadLugarPais
¿En qué país se encuentra la Gran Muralla China?,EntidadLugarPais
¿De qué nacionalidad es el futbolista Cristiano Ronaldo?,EntidadLugarPais
¿Cuál es el país de origen de la paella?,EntidadLugarPais
¿Cuál es la nacionalidad de la actriz Meryl Streep?,EntidadLugarPais
¿Cuál es el país donde se encuentra el Coliseo Romano?,EntidadLugarPais
¿En qué país se encuentra la Catedral de San Basilio?,EntidadLugarPais
¿De qué nacionalidad es el actor Johnny Depp?,EntidadLugarPais
¿Cuál es el país de origen del whisky escocés?,EntidadLugarPais
¿Cuál es la nacionalidad del cantante Ed Sheeran?,EntidadLugarPais
¿Cuál es el país donde se encuentra el Monte Everest?,EntidadLugarPais
¿En qué país se encuentra la Estatua de la Libertad?,EntidadLugarPais
¿De qué nacionalidad es el diseñador de moda Giorgio Armani?,EntidadLugarPais
¿Cuál es el país de origen del café?,EntidadLugarPais
¿Cuál es la nacionalidad del actor Will Smith?,EntidadLugarPais
¿Cuál es el país donde se encuentra el Machu Picchu?,EntidadLugarPais
¿En qué país se habla holandés?,EntidadLugarPais
¿De qué nacionalidad es el tenista Rafael Nadal?,EntidadLugarPais
¿Cuál es el país de origen del tequila?,EntidadLugarPais
¿Cuál es la nacionalidad del actor Denzel Washington?,EntidadLugarPais
¿Cuál es el país donde se encuentra la Mezquita-Catedral de Córdoba?,EntidadLugarPais
¿En qué país se encuentra el Parque Nacional de Yosemite?,EntidadLugarPais
¿De qué nacionalidad es la actriz Penélope Cruz?,EntidadLugarPais
¿Cuál es el país de origen del ron?,EntidadLugarPais
¿Cuál es la nacionalidad del cantante Bruno Mars?,EntidadLugarPais
¿Cuál es el país donde se encuentra la Isla de Pascua?,EntidadLugarPais
¿En qué país se encuentra la Torre de Londres?,EntidadLugarPais
¿De qué nacionalidad es el actor Idris Elba?,EntidadLugarPais
¿Cuál es el país de origen del chocolate?,EntidadLugarPais
¿Cuál es la nacionalidad de la actriz Emma Watson?,EntidadLugarPais
¿Cuál es el país donde se encuentra la estatua de Buda más grande del mundo?,EntidadLugarPais
¿En qué país se encuentra el Parque Nacional de Yellowstone?,EntidadLugarPais
¿De qué nacionalidad es la cantante Adele?,EntidadLugarPais
¿Cuál es el país de origen de la cerveza Guinness?,EntidadLugarPais
¿Cuál es la nacionalidad del actor Hugh Jackman?,EntidadLugarPais
¿Cuál es el país donde se encuentra el Taj Mahal?,EntidadLugarPais
