pregunta,clase
¿En qué día nació tu madre?,TemporalFecha
¿Qué día es hoy?,TemporalFecha
¿Qué fecha es tu cumpleaños?,TemporalFecha
¿En qué fecha se firmó la Constitución de tu país?,TemporalFecha
¿En qué día comenzó la Primera Guerra Mundial?,TemporalFecha
¿Qué día de la semana es tu día favorito?,TemporalFecha
¿Qué fecha se celebra el Día de Acción de Gracias en Estados Unidos?,TemporalFecha
¿En qué día de la semana tienes más tiempo libre?,TemporalFecha
¿En qué fecha termina el plazo para presentar la declaración de impuestos?,TemporalFecha
¿Qué día de la semana es tu aniversario?,TemporalFecha
¿Qué fecha se conmemora el Día Internacional de la Mujer?,TemporalFecha
¿En qué día de la semana te gusta hacer deporte?,TemporalFecha
¿Qué fecha se celebra la Independencia de tu país?,TemporalFecha
¿En qué día de la semana tienes más trabajo?,TemporalFecha
¿Qué día es el Día de San Valentín?,TemporalFecha
¿En qué fecha se produjo el último terremoto en tu región?,TemporalFecha
¿Qué día es el Día de los Muertos en México?,TemporalFecha
¿En qué día de la semana prefieres salir con amigos?,TemporalFecha
¿Qué fecha se celebra el Día de la Tierra?,TemporalFecha
¿En qué fecha se celebró la primera ceremonia de entrega de los Premios Oscar?,TemporalFecha
¿Qué día es el Día de la Madre en tu país?,TemporalFecha
¿En qué día de la semana te gusta ir al cine?,TemporalFecha
¿Qué fecha se conmemora el Día de los Derechos Humanos?,TemporalFecha
¿En qué fecha se conmemora el Día de los Enamorados en China?,TemporalFecha
¿Qué día es el Día del Padre en tu país?,TemporalFecha
¿En qué día de la semana prefieres quedarte en casa?,TemporalFecha
¿Qué fecha se celebra el Día del Trabajo en tu país?,TemporalFecha
¿En qué fecha comenzó la Segunda Guerra Mundial?,TemporalFecha
¿Qué día es el Día de Acción de Gracias en Canadá?,TemporalFecha
¿En qué día de la semana prefieres ir de compras?,TemporalFecha
¿Qué fecha se celebra el Día de la Paz?,TemporalFecha
¿En qué fecha se celebró el primer Día Mundial del Agua?,TemporalFecha
¿Qué día es el Día Internacional del Libro?,TemporalFecha
¿En qué día de la semana te gusta cocinar?,TemporalFecha
¿Qué fecha se celebra el Día Internacional de la Felicidad?,TemporalFecha
¿En qué día se fundó la ciudad donde vives?,TemporalFecha
¿Qué día es el primer día del mes?,TemporalFecha
¿Qué fecha es la última vez que fuiste al médico?,TemporalFecha
¿En qué fecha se celebra el Día del Niño en tu país?,TemporalFecha
¿En qué día se lanzó el primer iPhone?,TemporalFecha
¿Qué día de la semana es tu día de descanso?,TemporalFecha
¿Qué fecha es el próximo feriado en tu país?,TemporalFecha
¿En qué día de la semana prefieres hacer compras en línea?,TemporalFecha
¿Qué fecha es tu aniversario de bodas?,TemporalFecha
¿En qué día de la semana te gusta hacer ejercicio?,TemporalFecha
¿Qué día es el Día de los Inocentes en tu país?,TemporalFecha
¿En qué fecha se celebra el Día del Maestro en tu país?,TemporalFecha
¿Qué día de la semana es el mejor para tener una cita?,TemporalFecha
¿Qué fecha se celebra el Día del Padre en Estados Unidos?,TemporalFecha
¿En qué día de la semana prefieres leer?,TemporalFecha
¿Qué fecha es la próxima vez que tienes una reunión importante?,TemporalFecha
¿En qué día de la semana te gusta viajar?,TemporalFecha
¿Qué día se celebra el Día de la Bandera en tu país?,TemporalFecha
¿En qué fecha se celebra el Día Internacional de la Mujer y la Niña en la Ciencia?,TemporalFecha
¿Qué día es el Día de la Independencia en tu país?,TemporalFecha
¿En qué día de la semana prefieres hacer tareas del hogar?,TemporalFecha
¿Qué fecha se celebra el Día de la Madre en Estados Unidos?,TemporalFecha
¿En qué fecha se conmemora el Día de los Derechos del Niño?,TemporalFecha
¿Qué día de la semana es el mejor para organizar tu agenda?,TemporalFecha
¿En qué día se celebra el Día de los Santos Inocentes en España?,TemporalFecha
¿Qué fecha se celebra el Día Mundial del Medio Ambiente?,TemporalFecha
¿En qué día de la semana te gusta pasar tiempo con tu familia?,TemporalFecha
¿Qué día se celebra el Día del Trabajador en tu país?,TemporalFecha
¿En qué fecha se conmemora el Día Internacional de la Eliminación de la Violencia contra la Mujer?,TemporalFecha
¿Qué día de la semana prefieres tener una cena romántica?,TemporalFecha
