pregunta,clase
¿Cuál es la capital de Argentina?,EntidadLugarCapital
¿Cuál es la capital de Australia?,EntidadLugarCapital
¿Cuál es la capital de Brasil?,EntidadLugarCapital
¿Cuál es la capital de Canadá?,EntidadLugarCapital
¿Cuál es la capital de Chile?,EntidadLugarCapital
¿Cuál es la capital de China?,EntidadLugarCapital
¿Cuál es la capital de Colombia?,EntidadLugarCapital
¿Cuál es la capital de Cuba?,EntidadLugarCapital
¿Cuál es la capital de Ecuador?,EntidadLugarCapital
¿Cuál es la capital de España?,EntidadLugarCapital
¿Cuál es la capital de Estados Unidos?,EntidadLugarCapital
¿Cuál es la capital de Francia?,EntidadLugarCapital
¿Cuál es la capital de India?,EntidadLugarCapital
¿Cuál es la capital de Italia?,EntidadLugarCapital
¿Cuál es la capital de Japón?,EntidadLugarCapital
¿Cuál es la capital de México?,EntidadLugarCapital
¿Cuál es la capital de Nigeria?,EntidadLugarCapital
¿Cuál es la capital de Panamá?,EntidadLugarCapital
¿Cuál es la capital de Perú?,EntidadLugarCapital
¿Cuál es la capital de Portugal?,EntidadLugarCapital
¿Cuál es la capital de Reino Unido?,EntidadLugarCapital
¿Cuál es la capital de Rusia?,EntidadLugarCapital
¿Cuál es la capital de Sudáfrica?,EntidadLugarCapital
¿Cuál es la capital de Suecia?,EntidadLugarCapital
¿Cuál es la capital de Suiza?,EntidadLugarCapital
¿Cuál es la capital de Tailandia?,EntidadLugarCapital
¿Cuál es la capital de Turquía?,EntidadLugarCapital
¿Cuál es la capital de Uruguay?,EntidadLugarCapital
¿Cuál es la capital de Venezuela?,EntidadLugarCapital
¿Cuál es la capital de Vietnam?,EntidadLugarCapital
¿Cuál es la capital de Afganistán?,EntidadLugarCapital
¿Cuál es la capital de Angola?,EntidadLugarCapital
¿Cuál es la capital de Corea del Sur?,EntidadLugarCapital
¿Cuál es la capital de Egipto?,EntidadLugarCapital
¿Cuál es la capital de Alemania?,EntidadLugarCapital
¿Cuál es la capital de Grecia?,EntidadLugarCapital
¿Cuál es la capital de Guatemala?,EntidadLugarCapital
¿Cuál es la capital de Honduras?,EntidadLugarCapital
¿Cuál es la capital de Indonesia?,EntidadLugarCapital
¿Cuál es la capital de Irak?,EntidadLugarCapital
¿Cuál es la capital de Irlanda?,EntidadLugarCapital
¿Cuál es la capital de Israel?,EntidadLugarCapital
¿Cuál es la capital de Kenia?,EntidadLugarCapital
¿Cuál es la capital de Corea del Norte?,EntidadLugarCapital
¿Cuál es la capital de Pakistán?,EntidadLugarCapital
¿Cuál es la capital de Polonia?,EntidadLugarCapital
¿Cuál es la capital de Qatar?,EntidadLugarCapital
¿Cuál es la capital de Arabia Saudita?,EntidadLugarCapital
¿Cuál es la capital de Suiza?,EntidadLugarCapital
¿Cuál es la capital de Zimbabwe?,EntidadLugarCapital
