pregunta,clase
¿Qué sucedió en la Revolución Francesa?,Evento
¿Qué evento tuvo lugar en la Batalla de Waterloo?,Evento
¿Qué sucedió en la Caída del Muro de Berlín?,Evento
¿Qué evento tuvo lugar en el descubrimiento de América?,Evento
¿Qué sucedió en la Guerra Fría?,Evento
¿Qué evento tuvo lugar en la Revolución Industrial?,Evento
¿Qué sucedió en la Segunda Guerra Mundial?,Evento
¿Qué evento tuvo lugar en la fundación de Roma?,Evento
¿Qué sucedió en la Conquista de México?,Evento
¿Qué evento tuvo lugar en el nacimiento de Jesús?,Evento
¿Qué sucedió en la independencia de Estados Unidos?,Evento
¿Qué evento tuvo lugar en la construcción de la Gran Muralla China?,Evento
¿Qué sucedió en la Batalla de Stalingrado?,Evento
¿Qué evento tuvo lugar en el inicio de la Primera Guerra Mundial?,Evento
¿Qué sucedió en la caída del Imperio Romano?,Evento
¿Qué evento tuvo lugar en el descubrimiento de la penicilina?,Evento
¿Qué sucedió en la Revolución Rusa?,Evento
¿Qué evento tuvo lugar en el inicio de la Edad Media?,Evento
¿Qué sucedió en la Revolución de Haití?,Evento
¿Qué evento tuvo lugar en la Revolución Cubana?,Evento
¿Qué sucedió en la conquista de Egipto por Alejandro Magno?,Evento
¿Qué evento tuvo lugar en la invención de la imprenta?,Evento
¿Qué sucedió en la Revolución China de 1949?,Evento
¿Qué evento tuvo lugar en la fundación de la ciudad de Tenochtitlán?,Evento
¿Qué sucedió en la independencia de la India?,Evento
¿Qué sucedió en la Revolución Industrial?,Evento
¿Qué evento tuvo lugar en la caída del Imperio Azteca?,Evento
¿Qué sucedió en la Guerra de Secesión de Estados Unidos?,Evento
¿Qué evento tuvo lugar en la llegada del hombre a la Luna?,Evento
¿Qué sucedió en la Crisis de los Misiles en Cuba?,Evento
¿Qué evento tuvo lugar en la construcción del Canal de Panamá?,Evento
¿Qué sucedió en la Revolución Francesa?,Evento
¿Qué evento tuvo lugar en la creación de la Unión Europea?,Evento
¿Qué sucedió en la Guerra de Vietnam?,Evento
¿Qué evento tuvo lugar en el asesinato de Martin Luther King Jr.?,Evento
¿Qué sucedió en la Revolución Cubana?,Evento
¿Qué evento tuvo lugar en el fin de la Guerra Fría?,Evento
¿Qué sucedió en la Revolución Rusa de 1917?,Evento
¿Qué evento tuvo lugar en el inicio de la Primera Guerra Mundial?,Evento
¿Qué sucedió en el asesinato de John F. Kennedy?,Evento
¿Qué evento tuvo lugar en la creación del Estado de Israel?,Evento
¿Qué sucedió en la caída del Imperio Romano de Occidente?,Evento
¿Qué evento tuvo lugar en la creación de la Organización de las Naciones Unidas?,Evento
¿Qué sucedió en la Batalla de Waterloo?,Evento
¿Qué evento tuvo lugar en la Revolución Mexicana?,Evento
¿Qué sucedió en la Guerra de las Malvinas?,Evento
¿Qué evento tuvo lugar en el fin del apartheid en Sudáfrica?,Evento
¿Qué sucedió en la Batalla de Normandía?,Evento
¿Qué evento tuvo lugar en la independencia de India?,Evento
¿Qué sucedió en la crisis económica mundial de 2008?,Evento
¿Cómo se inició la Revolución Industrial?,Evento
¿Cómo se llevó a cabo la conquista de México?,Evento
¿Cómo se desarrolló la Guerra Fría?,Evento
¿Cómo se logró el descubrimiento de América?,Evento
¿Cómo se libró la Batalla de Waterloo?,Evento
¿Cómo se produjo la Revolución Industrial?,Evento
¿Cómo se ganó la Segunda Guerra Mundial?,Evento
¿Cómo se construyó la Gran Muralla China?,Evento
¿Cómo se estableció la fundación de Roma?,Evento
¿Cómo se desarrolló la Independencia de Estados Unidos?,Evento
¿Cómo se descubrió la penicilina?,Evento
¿Cómo se inició la Primera Guerra Mundial?,Evento
¿Cómo se llevó a cabo la conquista de Egipto por Alejandro Magno?,Evento
¿Cómo se desarrolló la Revolución Rusa?,Evento
¿Cómo se inició la Edad Media?,Evento
¿Cómo se llevó a cabo la construcción del Canal de Panamá?,Evento
¿Cómo se logró la independencia de Haití?,Evento
¿Cómo se estableció la fundación de la ciudad de Tenochtitlán?,Evento
¿Cómo se desarrolló la Revolución Cubana?,Evento
¿Cómo se llevó a cabo la invención de la imprenta?,Evento
¿Cómo se logró la independencia de la India?,Evento
¿Cómo se inició la Revolución China de 1949?,Evento
¿Cómo se desarrolló la Revolución Francesa?,Evento
¿Cómo se llevó a cabo la conquista del Imperio Azteca?,Evento
¿Cómo se logró la llegada del hombre a la Luna?,Evento
¿Cómo se libró la Batalla de Stalingrado?,Evento
¿Cómo se desarrolló la Segunda Guerra Mundial en Europa?,Evento
¿Cómo se logró la caída del Muro de Berlín?,Evento
¿Cómo se inició la Guerra de Vietnam?,Evento
¿Cómo se llevó a cabo la conquista del Imperio Inca?,Evento
¿Cómo se desarrolló la Guerra de los Cien Años?,Evento
¿Cómo se logró la independencia de las Trece Colonias?,Evento
¿Cómo se inició la Revolución Mexicana?,Evento
¿Cómo se llevó a cabo la creación de la Constitución de Estados Unidos?,Evento
¿Cómo se logró la unificación de Italia en 1870?,Evento
