pregunta,clase
¿Quién es el presidente actual de Estados Unidos?,EntidadPersona
¿Quién es la cantante más exitosa de todos los tiempos?,EntidadPersona
¿Cuál es la persona que descubrió la penicilina?,EntidadPersona
¿Quién es el actor más taquillero de la historia del cine?,EntidadPersona
¿Quién es la escritora más leída de la literatura contemporánea?,EntidadPersona
¿Cuál es la persona que fundó Microsoft?,EntidadPersona
¿Quién es el jugador de fútbol más caro de la historia?,EntidadPersona
¿Quién es la actriz más premiada de la historia del cine?,EntidadPersona
¿Cuál es la persona que inventó el teléfono?,EntidadPersona
¿Quién es el cantante latino más famoso en el mundo?,EntidadPersona
¿Quién es la modelo más cotizada del momento?,EntidadPersona
¿Cuál es la persona que escribió "Cien años de soledad"?,EntidadPersona
¿Quién es el director de cine más influyente de todos los tiempos?,EntidadPersona
¿Quién es la diseñadora de moda más icónica de la historia?,EntidadPersona
¿Cuál es la persona que creó Facebook?,EntidadPersona
¿Quién es el músico más premiado de la historia?,EntidadPersona
¿Quién es la atleta más destacada de los últimos Juegos Olímpicos?,EntidadPersona
¿Cuál es la persona que diseñó el primer avión?,EntidadPersona
¿Quién es el chef más famoso del mundo?,EntidadPersona
¿Quién es la actriz más taquillera de la historia del cine?,EntidadPersona
¿Cuál es la persona que descubrió América?,EntidadPersona
¿Quién es el autor de "El principito"?,EntidadPersona
¿Quién es la pintora más influyente de la historia del arte?,EntidadPersona
¿Cuál es la persona que creó Amazon?,EntidadPersona
¿Quién es el actor más galardonado de los premios Óscar?,EntidadPersona
¿Quién es la directora de cine más destacada del momento?,EntidadPersona
¿Cuál es la persona que diseñó el primer automóvil?,EntidadPersona
¿Quién es el periodista más reconocido de la televisión?,EntidadPersona
¿Quién es el músico más exitoso del momento?,EntidadPersona
¿Cuál es la persona que descubrió la electricidad?,EntidadPersona
¿Quién fue el primer hombre en pisar la Luna?,EntidadPersona
¿Quién fue la reina de Inglaterra que gobernó por más tiempo?,EntidadPersona
¿Quién fue el famoso científico que formuló la teoría de la relatividad?,EntidadPersona
¿Quién fue la actriz que interpretó a Marilyn Monroe en el cine?,EntidadPersona
¿Quién fue el presidente de Estados Unidos que luchó contra la esclavitud?,EntidadPersona
¿Quién fue la escritora que creó el personaje de Sherlock Holmes?,EntidadPersona
¿Quién fue el conquistador que derrotó al Imperio Inca?,EntidadPersona
¿Quién fue la modelo que se convirtió en la primera mujer en aparecer en la portada de Sports Illustrated?,EntidadPersona
¿Quién fue el músico que cambió la historia del rock and roll?,EntidadPersona
¿Quién fue la actriz que ganó el Óscar a la Mejor Actriz por su papel en "Gone with the Wind"?,EntidadPersona
¿Quién fue el filósofo que escribió "El Príncipe"?,EntidadPersona
¿Quién fue la cantante que popularizó la canción "Respect"?,EntidadPersona
¿Quién fue el líder de la Revolución Francesa?,EntidadPersona
¿Quién fue la escritora que escribió "Jane Eyre"?,EntidadPersona
¿Quién fue el pintor que creó la obra maestra "La noche estrellada"?,EntidadPersona
¿Quién fue la actriz que interpretó a Cleopatra en la película homónima?,EntidadPersona
¿Quién fue el astronauta que comandó la expedición Apolo 11?,EntidadPersona
¿Quién fue la primera mujer en escalar el Monte Everest?,EntidadPersona
¿Quién fue el inventor que patentó el teléfono?,EntidadPersona
¿Quién fue la primera mujer en recibir el Premio Nobel de la Paz?,EntidadPersona
