pregunta,clase
¿Cómo se abrevia "kilogramo"?,EntidadAbreviatura
¿Cuál es la abreviatura de "doctor"?,EntidadAbreviatura
¿Cómo es la abreviatura de "metro cuadrado"?,EntidadAbreviatura
¿Cómo se abrevia "minuto"?,EntidadAbreviatura
¿Cuál es la abreviatura de "kilómetro por hora"?,EntidadAbreviatura
¿Cómo es la abreviatura de "centímetro"?,EntidadAbreviatura
¿Cómo se abrevia "segundo"?,EntidadAbreviatura
¿Cuál es la abreviatura de "provincia"?,EntidadAbreviatura
¿Cómo es la abreviatura de "página"?,EntidadAbreviatura
¿Cómo se abrevia "hora"?,EntidadAbreviatura
¿Cuál es la abreviatura de "comisión"?,EntidadAbreviatura
¿Cómo es la abreviatura de "número"?,EntidadAbreviatura
¿Cómo se abrevia "centímetro cúbico"?,EntidadAbreviatura
¿Cuál es la abreviatura de "instituto"?,EntidadAbreviatura
¿Cómo es la abreviatura de "gramo"?,EntidadAbreviatura
¿Cómo se abrevia "libra"?,EntidadAbreviatura
¿Cuál es la abreviatura de "kilovatio"?,EntidadAbreviatura
¿Cómo es la abreviatura de "metro lineal"?,EntidadAbreviatura
¿Cómo se abrevia "pie"?,EntidadAbreviatura
¿Cuál es la abreviatura de "Universidad"?,EntidadAbreviatura
¿Cómo es la abreviatura de "kilómetro"?,EntidadAbreviatura
¿Cómo se abrevia "centavo"?,EntidadAbreviatura
¿Cuál es la abreviatura de "código postal"?,EntidadAbreviatura
¿Cómo es la abreviatura de "dólar"?,EntidadAbreviatura
¿Cómo se abrevia "tonelada"?,EntidadAbreviatura
¿Cuál es la abreviatura de "departamento"?,EntidadAbreviatura
¿Cómo es la abreviatura de "seguridad social"?,EntidadAbreviatura
¿Cómo se abrevia "milímetro"?,EntidadAbreviatura
¿Cuál es la abreviatura de "televisión"?,EntidadAbreviatura
¿Cómo es la abreviatura de "edificio"?,EntidadAbreviatura
¿Cómo se abrevia "administración"?,EntidadAbreviatura
¿Cuál es la abreviatura de "empresa"?,EntidadAbreviatura
¿Cómo es la abreviatura de "kilómetro cuadrado"?,EntidadAbreviatura
¿Cómo se abrevia "ciudad"?,EntidadAbreviatura
¿Cuál es la abreviatura de "Ministerio"?,EntidadAbreviatura
¿Cómo es la abreviatura de "población"?,EntidadAbreviatura
¿Cómo se abrevia "habitante"?,EntidadAbreviatura
¿Cuál es la abreviatura de "publicación"?,EntidadAbreviatura
¿Cómo es la abreviatura de "kilobyte"?,EntidadAbreviatura
¿Cómo se abrevia "sitio web"?,EntidadAbreviatura
¿Cuál es la abreviatura de "centro comercial"?,EntidadAbreviatura
¿Cómo es la abreviatura de "kilocaloría"?,EntidadAbreviatura
¿Cómo se abrevia "pie cuadrado"?,EntidadAbreviatura
¿Cuál es la abreviatura de "organización"?,EntidadAbreviatura
¿Cómo es la abreviatura de "centímetro cuadrado"?,EntidadAbreviatura
¿Cómo se abrevia "centímetro cúbico por segundo"?,EntidadAbreviatura
¿Cuál es la abreviatura de "estadística"?,EntidadAbreviatura
¿Cómo se abrevia "corporación"?,EntidadAbreviatura
¿Cuál es la abreviatura de "centímetro cúbico por metro cuadrado por segundo"?,EntidadAbreviatura
¿Cómo es la abreviatura de "médico"?,EntidadAbreviatura
