pregunta,clase
¿Qué es la inteligencia artificial?,Definicion
¿Qué significa la palabra "procrastinar"?,Definicion
¿Cuál es el significado de la palabra "efímero"?,Definicion
¿Qué es la energía solar?,Definicion
¿Qué significa la expresión "hacer la vista gorda"?,Definicion
¿Cuál es el significado de la palabra "empatía"?,Definicion
¿Qué es la ley de la oferta y la demanda?,Definicion
¿Qué significa la sigla "ONG"?,Definicion
¿Cuál es el significado de la palabra "sostenible"?,Definicion
¿Qué es el cambio climático?,Definicion
¿Qué significa la palabra "perplejo"?,Definicion
¿Cuál es el significado de la palabra "proactivo"?,Definicion
¿Qué es la teoría de la relatividad?,Definicion
¿Qué significa la expresión "estar entre la espada y la pared"?,Definicion
¿Cuál es el significado de la palabra "nostalgia"?,Definicion
¿Qué es la globalización?,Definicion
¿Qué significa la sigla "OMS"?,Definicion
¿Cuál es el significado de la palabra "resiliencia"?,Definicion
¿Qué es el sistema nervioso?,Definicion
¿Qué significa la expresión "llevarse el gato al agua"?,Definicion
¿Cuál es el significado de la palabra "cosmopolita"?,Definicion
¿Qué es la economía de mercado?,Definicion
¿Qué significa la sigla "UE"?,Definicion
¿Cuál es el significado de la palabra "eclecticismo"?,Definicion
¿Qué es la democracia?,Definicion
¿Qué es la biotecnología?,Definicion
¿Qué significa la expresión "quemar las naves"?,Definicion
¿Cuál es el significado de la palabra "hedonismo"?,Definicion
¿Qué es el internet de las cosas?,Definicion
¿Qué significa la sigla "UNESCO"?,Definicion
¿Cuál es el significado de la palabra "innovación"?,Definicion
¿Qué es el sistema endocrino?,Definicion
¿Qué significa la expresión "poner los puntos sobre las íes"?,Definicion
¿Cuál es el significado de la palabra "tolerancia"?,Definicion
¿Qué es la inteligencia emocional?,Definicion
¿Qué significa la sigla "FMI"?,Definicion
¿Cuál es el significado de la palabra "disonancia cognitiva"?,Definicion
¿Qué es la teoría del Big Bang?,Definicion
¿Qué significa la expresión "estar en la luna"?,Definicion
¿Cuál es el significado de la palabra "coyuntura"?,Definicion
¿Qué es la teoría de la evolución?,Definicion
¿Qué significa la sigla "UNICEF"?,Definicion
¿Cuál es el significado de la palabra "prolijidad"?,Definicion
¿Qué es la inteligencia colectiva?,Definicion
¿Qué significa la expresión "poner las cosas en perspectiva"?,Definicion
¿Cuál es el significado de la palabra "libertad"?,Definicion
¿Qué es la economía circular?,Definicion
¿Qué significa la sigla "ONU"?,Definicion
¿Cuál es el significado de la palabra "hedonismo"?,Definicion
¿Qué es el cambio organizacional?,Definicion
